slug,name,brand,mount,film_format,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
angenieux-optimo-anamorphic-30-72-a2s,Angenieux Optimo Anamorphic 30‑72 A2S,Angénieux,,35mm,,,,,,,Q126279556,,,wikidata
angenieux-optimo-anamorphic-42-420-a2s,Angenieux Optimo Anamorphic 42-420 A2S,Angénieux,,35mm,,,,,,,Q126279557,,,wikidata
angenieux-optimo-anamorphic-56-152-a2s,Angenieux Optimo Anamorphic 56‑152 A2S,Angénieux,,35mm,,,,,,,Q126279555,,,wikidata
angenieux-optimo-style-25-250-10x-spherical-zoom-lens,Angenieux Optimo Style 25‑250 - 10x Spherical Zoom Lens,Angénieux,,35mm,,,,,,,Q126279566,,,wikidata
angenieux-optimo-style-30-76-standard-compact-spherical-zoom-lens,Angenieux Optimo Style 30‑76 - Standard Compact Spherical Zoom Lens,Angénieux,,35mm,,,,,,,Q126279568,,,wikidata
angenieux-optimo-style-48-130-lightweight-compact-mid-range-tele-zoom,Angenieux Optimo Style 48-130 - Lightweight Compact Mid-Range Tele Zoom,Angénieux,,35mm,,,,,,,Q126279567,,,wikidata
angenieux-optimo-ultra-12x-ff-vv-s35-u35,"Angenieux Optimo Ultra 12x FF/VV, S35 & U35",Angénieux,,35mm,,,,,,,Q126279560,,,wikidata
angenieux-optimo-ultra-compact-21-56-ff,Angenieux Optimo Ultra Compact 21-56 FF,Angénieux,,35mm,,,,,,,Q126279558,,,wikidata
angenieux-optimo-ultra-compact-37-102-ff,Angenieux Optimo Ultra Compact 37-102 FF,Angénieux,,35mm,,,,,,,Q126279559,,,wikidata
angenieux-type-ez-1-ff-vv-s35-standard,Angenieux Type EZ-1 FF/VV & S35 (Standard),Angénieux,,35mm,,,,,,,Q126279569,,,wikidata
angenieux-type-ez-2-ff-vv-s35-wide,Angenieux Type EZ-2 FF/VV & S35 (Wide),Angénieux,,35mm,,,,,,,Q126279570,,,wikidata
