slug,name,type,mount,introduced,image,wikidata,commons_file,wikipedia,source
canon-a-1,Canon A-1,SLR,Canon FD lens mount,1978,images/canon/canon-a-1.jpg,Q62997,Canon a1.JPG,https://en.wikipedia.org/wiki/Canon_A-1,wikidata
canon-ae-1,Canon AE-1,SLR,Canon FD lens mount,1976,images/canon/canon-ae-1.jpg,Q55674,Canon AE-1 front with 50mm lens.jpg,https://en.wikipedia.org/wiki/Canon_AE-1,wikidata
canon-ae-1-program,Canon AE-1 Program,SLR,Canon FD lens mount,1981,images/canon/canon-ae-1-program.jpg,Q63008,Canon AE-1 Program D Barthel.jpg,https://en.wikipedia.org/wiki/Canon_AE-1_Program,wikidata
canon-al-1,Canon AL-1,SLR,Canon FD lens mount,1982,images/canon/canon-al-1.jpg,Q63019,Canon AL-1 film camera.jpg,https://en.wikipedia.org/wiki/Canon_AL-1,wikidata
canon-at-1,Canon AT-1,SLR,Canon FD lens mount,1976,images/canon/canon-at-1.jpg,Q62983,Canon AT-1- 50mm.jpg,https://en.wikipedia.org/wiki/Canon_AT-1,wikidata
canon-av-1,Canon AV-1,SLR,Canon FD lens mount,1979,images/canon/canon-av-1.jpg,Q63001,Canon AV-1 front web.jpg,https://en.wikipedia.org/wiki/Canon_AV-1,wikidata
canon-canonflex,Canon Canonflex,SLR,Canon R lens mount,1959,images/canon/canon-canonflex.jpg,Q1033552,Canonflex RP 50mm.jpg,https://en.wikipedia.org/wiki/Canon_Canonflex,wikidata
canon-ef,Canon EF,SLR,Canon FD lens mount,1973,,,,,wikipedia
canon-ef-camera,Canon EF camera,SLR,Canon FD lens mount,1973,images/canon/canon-ef-camera.jpg,Q63077,Canon EF top.jpg,https://en.wikipedia.org/wiki/Canon_EF_camera,wikidata
canon-ef-m,Canon EF-M,SLR,Canon EF lens mount,1991,images/canon/canon-ef-m.jpg,Q9184433,Canon-ef-m-front.jpg,https://en.wikipedia.org/wiki/Canon_EF-M_camera,wikidata
canon-eos-10-qd,Canon EOS 10 QD,SLR,Canon EF lens mount,1990,images/canon/canon-eos-10-qd.jpg,Q22076032,Canon EOS 10 QD front-left 2016 Canon Plaza S.jpg,,wikidata
canon-eos-100,Canon EOS 100,SLR,Canon EF lens mount,1991,images/canon/canon-eos-100.jpg,Q5033228,CanonEOS100with50mmLens.jpg,https://en.wikipedia.org/wiki/Canon_EOS_100,wikidata
canon-eos-1000,Canon EOS 1000,SLR,Canon EF lens mount,,images/canon/canon-eos-1000.jpg,Q117715379,EOS Rebel body.jpg,https://en.wikipedia.org/wiki/Canon_EOS_1000,wikidata
