slug,name,mount,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
canon-ef-100mm-f2-8l-macro-is-usm,Canon EF 100mm F2.8L Macro IS USM,Canon EF lens mount,100,2.8,2009,,,images/canon/canon-ef-100mm-f2-8l-macro-is-usm.jpg,Q121113175,Canon EF 100mm f2.8L Macro IS USM front horizontal.jpg,,wikidata
canon-ef-100mm-lens,Canon EF 100mm lens,,100,,1991,,,images/canon/canon-ef-100mm-lens.jpg,Q4035818,Canon 100mm Macro Lens non-USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_100mm_lens,wikidata
canon-ef-100-200mm-lens,Canon EF 100–200mm lens,Canon EF lens mount,100-200,4.5,1988,,,,Q25326876,,https://en.wikipedia.org/wiki/Canon_EF_100%E2%80%93200mm_lens,wikidata
canon-ef-100-300mm-lens,Canon EF 100–300mm lens,Canon EF lens mount,100-300,4.5,1990,,,images/canon/canon-ef-100-300mm-lens.jpg,Q3880559,Canon 100-300.jpg,https://en.wikipedia.org/wiki/Canon_EF_100-300mm_lens,wikidata
canon-ef-100-400mm-lens,Canon EF 100–400mm lens,,100-400,,1998,,,images/canon/canon-ef-100-400mm-lens.jpg,Q1090000,Objektivschelle2.jpg,https://en.wikipedia.org/wiki/Canon_EF_100-400mm_lens,wikidata
canon-ef-11-24mm-lens,Canon EF 11–24mm lens,Canon EF lens mount,11-24,4,2015,,,images/canon/canon-ef-11-24mm-lens.jpg,Q19903726,Canon EF 11-24mm F4L USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_11%E2%80%9324mm_lens,wikidata
canon-ef-1200-mm-f-5-6-l-usm,Canon EF 1200 mm f/5.6 L USM,Canon EF lens mount,1200,5.6,1993,,,images/canon/canon-ef-1200-mm-f-5-6-l-usm.jpg,Q5033201,Canon EF 1200mm ƒ-5.6 L USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_1200mm_lens,wikidata
canon-ef-135mm-f2l-usm,Canon EF 135mm F2L USM,Canon EF lens mount,135,2,1996,,,images/canon/canon-ef-135mm-f2l-usm.jpg,Q116592631,Canon EF 135mm f2L.jpg,https://en.wikipedia.org/wiki/Canon_EF_135mm_f/2_L_USM,wikidata
canon-ef-135mm-lens,Canon EF 135mm lens,,135,,1987,,,images/canon/canon-ef-135mm-lens.jpg,Q1089995,Canon EF135mm F2.0L USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_135mm_lens,wikidata
canon-ef-14mm-f2-8l-ii-usm,Canon EF 14mm F2.8L II USM,Canon EF lens mount,14,2.8,2007,,,images/canon/canon-ef-14mm-f2-8l-ii-usm.jpg,Q60182607,Canon EF 14.jpg,,wikidata
canon-ef-14mm-lens,Canon EF 14mm lens,Canon EF lens mount,14,2.8,2007,,,images/canon/canon-ef-14mm-lens.jpg,Q5033197,Canon-14mm MG 2029.jpg,https://en.wikipedia.org/wiki/Canon_EF_14mm_lens,wikidata
canon-ef-15mm-lens,Canon EF 15mm lens,Canon EF lens mount,15,2.8,1987,,,images/canon/canon-ef-15mm-lens.jpg,Q5033200,Ef15mm.jpg,https://en.wikipedia.org/wiki/Canon_EF_15mm_lens,wikidata
canon-ef-16-35mm-f4l-is-usm,Canon EF 16-35mm F4L IS USM,,16-35,4,,,,images/canon/canon-ef-16-35mm-f4l-is-usm.jpg,Q111794931,Canon EF 16-35mm f4L IS USM front horizontal with hood.jpg,,wikidata
canon-ef-16-35mm-lens,Canon EF 16–35mm lens,,16-35,,2007,,,images/canon/canon-ef-16-35mm-lens.jpg,Q2603321,Canon EF 16-35mm f2.8L USM II Hooded.jpg,https://en.wikipedia.org/wiki/Canon_EF_16-35mm_lens,wikidata
canon-ef-17-35mm-lens,Canon EF 17–35mm lens,Canon EF lens mount,17-35,2.8,1996,,,,Q5033196,,https://en.wikipedia.org/wiki/Canon_EF_17-35mm_lens,wikidata
canon-ef-17-40mm-lens,Canon EF 17–40mm lens,Canon EF lens mount,17-40,4,2003,,,images/canon/canon-ef-17-40mm-lens.jpg,Q2603925,Canon EF 17-40mm f4L USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_17-40mm_lens,wikidata
canon-ef-180mm-f-3-5l-macro-usm-lens,Canon EF 180mm f/3.5L Macro USM lens,Canon EF lens mount,180,3.5,1996,,,images/canon/canon-ef-180mm-f-3-5l-macro-usm-lens.jpg,Q5033198,Canon EF 180mm f3.5L Macro USM front angled with tripod ring rotated.jpg,https://en.wikipedia.org/wiki/Canon_EF_180mm_f/3.5L_Macro_USM_lens,wikidata
canon-ef-200-400mm-f-4l-is-usm-extender-1-4x-lens,Canon EF 200-400mm f/4L IS USM Extender 1.4x lens,Canon EF lens mount,200-400-560,4,2013,,,images/canon/canon-ef-200-400mm-f-4l-is-usm-extender-1-4x-lens.jpg,Q13505764,Canon EF 200-400mm cut.jpg,https://en.wikipedia.org/wiki/Canon_EF_200-400mm_lens,wikidata
