slug,name,brand,type,mount,film_format,introduced,image,wikidata,commons_file,wikipedia,source
kiev-10,Kiev 10,Kiev,SLR,,35mm,,images/kiev/kiev-10.jpg,Q4220070,Фотоаппарат Киев-10.jpg,,wikidata
kiev-15,Kiev 15,Kiev,SLR,,35mm,,images/kiev/kiev-15.jpg,Q4220072,Фотокамера Киев-15.jpg,,wikidata
kiev-17,Kiev 17,Kiev,SLR,,35mm,,images/kiev/kiev-17.jpg,Q4220073,Киев-17 фотоаппарат.jpg,,wikidata
kiev-19,Kiev 19,Kiev,SLR,,35mm,,images/kiev/kiev-19.jpg,Q4220075,Kiev-19 front.jpg,,wikidata
kiev-20,Kiev 20,Kiev,SLR,,35mm,,images/kiev/kiev-20.jpg,Q4220077,Soviet Russian Vintage Camera Kiev 20 Советский фотоаппарат Киев 20-0254.jpg,,wikidata
kiev-30,Kiev 30,Kiev,SLR,,35mm,,images/kiev/kiev-30.jpg,Q4220078,Kiev-30.jpg,,wikidata
kiev-303,Kiev 303,Kiev,SLR,,35mm,,images/kiev/kiev-303.jpg,Q4220079,04 Киев-303. Готов к съёмке.jpg,,wikidata
kiev-60,Kiev 60,Kiev,SLR,Pentacon Six,35mm,,images/kiev/kiev-60.jpg,Q3196484,Kiev 60 6x6.jpg,,wikidata
kiev-6c,Kiev 6C,Kiev,SLR,Pentacon Six,35mm,,images/kiev/kiev-6c.jpg,Q4220090,Фотоаппарат Киев-6С ТТЛ фото2.JPG,,wikidata
kiev-88,Kiev 88,Kiev,SLR,Pentacon Six,35mm,,images/kiev/kiev-88.jpg,Q4220091,Киев 88 TTL.jpg,,wikidata
kiev-vega,Kiev-Vega,Kiev,SLR,,35mm,,images/kiev/kiev-vega.jpg,Q4220095,Kiev-vega.jpg,,wikidata
