slug,name,brand,mount,film_format,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
minolta-af-100mm-f-2-8-macro-lens,Minolta AF 100mm f/2.8 Macro lens,Minolta,Minolta A,35mm,100,2.8,,,,,Q4044326,,https://en.wikipedia.org/wiki/Minolta_AF_Macro_100mm_f/2.8,wikidata
minolta-af-16mm-f-2-8-fisheye-lens,Minolta AF 16mm f/2.8 Fisheye lens,Minolta,Minolta A,35mm,16,2.8,,,,,Q6869000,,https://en.wikipedia.org/wiki/Minolta_AF_Fish-Eye_16mm_f/2.8,wikidata
minolta-af-20mm-f-2-8-lens,Minolta AF 20mm f/2.8 lens,Minolta,Minolta A,35mm,20,2.8,,,,,Q6868998,,https://en.wikipedia.org/wiki/Minolta_AF_20mm_f/2.8,wikidata
minolta-af-24-105mm-f-3-5-4-5-lens,Minolta AF 24-105mm f/3.5-4.5 lens,Minolta,Minolta A,35mm,24-105,3.5,,,,,Q6869001,,https://en.wikipedia.org/wiki/Minolta_AF_Zoom_24-105mm_f/3.5-4.5_(D),wikidata
minolta-af-24mm-f-2-8-lens,Minolta AF 24mm f/2.8 lens,Minolta,Minolta A,35mm,24,2.8,,,,images/minolta/minolta-af-24mm-f-2-8-lens.jpg,Q4044317,Minolta AF 24mm f2.8.jpg,https://en.wikipedia.org/wiki/Minolta_AF_24mm_f/2.8,wikidata
minolta-af-28mm-f-2-8-lens,Minolta AF 28mm f/2.8 lens,Minolta,Minolta A,35mm,28,2.8,,,,,Q6869003,,https://en.wikipedia.org/wiki/Minolta_AF_28mm_f/2.8,wikidata
minolta-af-300mm-f-2-8-g-ssm-lens,Minolta AF 300mm f/2.8 G SSM lens,Minolta,Minolta A,35mm,300,2.8,,,,,Q4044318,,https://en.wikipedia.org/wiki/Minolta_AF_Apo_Tele_300mm_f/2.8,wikidata
minolta-af-35mm-f-1-4-g-lens,Minolta AF 35mm f/1.4 G lens,Minolta,Minolta A,35mm,35,1.4,,,,,Q6869005,,https://en.wikipedia.org/wiki/Minolta_AF_35mm_f/1.4,wikidata
minolta-af-50mm-f-1-4-lens,Minolta AF 50mm f/1.4 lens,Minolta,Minolta A,35mm,50,1.4,,,,,Q4044319,,https://en.wikipedia.org/wiki/Minolta_AF_50mm_f/1.4,wikidata
minolta-af-50mm-f-1-7-lens,Minolta AF 50mm f/1.7 lens,Minolta,Minolta A,35mm,50,1.7,,,,images/minolta/minolta-af-50mm-f-1-7-lens.jpg,Q4044322,Minolta-50mm-F17.jpg,https://en.wikipedia.org/wiki/Minolta_AF_50mm_f/1.7,wikidata
minolta-af-50mm-f-2-8-macro-lens,Minolta AF 50mm f/2.8 Macro lens,Minolta,Minolta A,35mm,50,2.8,,,,,Q6869006,,https://en.wikipedia.org/wiki/Minolta_AF_Macro_50mm_f/2.8,wikidata
minolta-af-70-200mm-f-2-8-g-ssm-lens,Minolta AF 70-200mm f/2.8 G SSM lens,Minolta,Minolta A,35mm,70,2.8,,,,,Q6869008,,https://en.wikipedia.org/wiki/Minolta_AF_Apo_Tele_Zoom_70-200mm_f/2.8_G_(D)_SSM,wikidata
minolta-af-70-210mm-f-4-lens,Minolta AF 70-210mm f/4 lens,Minolta,Minolta A,35mm,70-210,4,,,,images/minolta/minolta-af-70-210mm-f-4-lens.jpg,Q2006268,Minolta-70210mm-F4.jpg,https://en.wikipedia.org/wiki/Minolta_AF_Zoom_70-210mm_f/4,wikidata
minolta-af-75-300mm-f-4-5-5-6-lens,Minolta AF 75-300mm f/4.5-5.6 lens,Minolta,Minolta A,35mm,75-300,4.5,,,,,Q14055708,,https://en.wikipedia.org/wiki/Minolta_AF_Zoom_75-300mm_f/4.5-5.6,wikidata
minolta-af-reflex-500mm-f-8,Minolta AF Reflex 500mm f/8,Minolta,Minolta A,35mm,500,8,,,,images/minolta/minolta-af-reflex-500mm-f-8.jpg,Q4044316,Minolta-500mm-Reflex-01.jpg,https://en.wikipedia.org/wiki/Minolta_AF_Reflex_500mm_f/8,wikidata
