slug,name,brand,type,mount,film_format,introduced,image,wikidata,commons_file,wikipedia,source
nikon-dl,Nikon DL,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-dl.jpg,Q25382143,Nikon DL18-50 front-left 2016 China P&E.jpg,,wikidata
nikon-em,Nikon EM,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-em.jpg,Q2263095,Nikon EM (balance adjust).jpg,https://en.wikipedia.org/wiki/Nikon_EM,wikidata
nikon-f,Nikon F,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f.jpg,Q1931209,Nikon F Eye Level.jpg,https://en.wikipedia.org/wiki/Nikon_F,wikidata
nikon-f100,Nikon F100,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f100.jpg,Q3341816,Nikon F100.png,https://en.wikipedia.org/wiki/Nikon_F100,wikidata
nikon-f2,Nikon F2,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f2.jpg,Q788315,Nikon F2 DE1.jpg,https://en.wikipedia.org/wiki/Nikon_F2,wikidata
nikon-f3,Nikon F3,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f3.jpg,Q1470486,F3big.jpg,https://en.wikipedia.org/wiki/Nikon_F3,wikidata
nikon-f4,Nikon F4,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f4.jpg,Q1384459,Nikon F4 1.jpg,https://en.wikipedia.org/wiki/Nikon_F4,wikidata
nikon-f5,Nikon F5,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f5.jpg,Q1510216,16-04-09 Nikon F5 RalfR WAT 6948.jpg,https://en.wikipedia.org/wiki/Nikon_F5,wikidata
nikon-f50,Nikon F50,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f50.jpg,Q3078442,Nikon F50 5914.jpeg,https://en.wikipedia.org/wiki/Nikon_F50,wikidata
nikon-f6,Nikon F6,Nikon,SLR,Nikon F,35mm,2004,images/nikon/nikon-f6.jpg,Q1510460,Nikon F6 face.jpg,https://en.wikipedia.org/wiki/Nikon_F6,wikidata
nikon-f60,Nikon F60,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f60.jpg,Q489172,Nikon F60 (top and front) (retouched).jpg,https://en.wikipedia.org/wiki/Nikon_F60,wikidata
nikon-f65,Nikon F65,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f65.jpg,Q3078788,Nikon N65 (lower contrast).jpg,https://en.wikipedia.org/wiki/Nikon_F65,wikidata
nikon-f70,Nikon F70,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f70.jpg,Q3341822,Nikon F70 BL (filter retouch).jpg,https://en.wikipedia.org/wiki/Nikon_F70,wikidata
nikon-f75,Nikon F75,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f75.jpg,Q378703,Nikon F75 01.jpg,https://en.wikipedia.org/wiki/Nikon_F75,wikidata
nikon-f80,Nikon F80,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f80.jpg,Q1068333,Nikon F80 T.jpg,https://en.wikipedia.org/wiki/Nikon_F80,wikidata
nikon-f90,Nikon F90,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-f90.jpg,Q7036525,Nikon F90x.jpg,https://en.wikipedia.org/wiki/Nikon_F90,wikidata
nikon-fa,Nikon FA,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-fa.jpg,Q1457619,NikonFAblkfrt35f2.jpg,https://en.wikipedia.org/wiki/Nikon_FA,wikidata
nikon-fe,Nikon FE,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-fe.jpg,Q2308014,Nikon FE Heinz-Vale.jpg,https://en.wikipedia.org/wiki/Nikon_FE,wikidata
nikon-fe2,Nikon FE2,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-fe2.jpg,Q3341827,NikonFE2blkfrt50f14.jpg,https://en.wikipedia.org/wiki/Nikon_FE2,wikidata
nikon-fg-20,Nikon FG-20,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-fg-20.jpg,Q11040975,FG-20.JPG,https://en.wikipedia.org/wiki/Nikon_FG-20,wikidata
nikon-fm,Nikon FM,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-fm.jpg,Q3341825,Nikon FM.jpg,https://en.wikipedia.org/wiki/Nikon_FM,wikidata
nikon-fm10,Nikon FM10,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-fm10.jpg,Q1654201,Nikon FM10.jpg,https://en.wikipedia.org/wiki/Nikon_FM10,wikidata
nikon-fm2,Nikon FM2,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-fm2.jpg,Q1352089,NIKON FM2n NIKKOR Q.jpg,https://en.wikipedia.org/wiki/Nikon_FM2,wikidata
nikon-fm2n,Nikon FM2n,Nikon,SLR,Nikon F,35mm,,,Q30898740,,,wikidata
nikon-fm3a,Nikon FM3A,Nikon,SLR,Nikon F,35mm,,images/nikon/nikon-fm3a.jpg,Q655249,Nikon FM3A with 50mm lens.JPG,https://en.wikipedia.org/wiki/Nikon_FM3A,wikidata
nikon-qv-1000c,Nikon QV-1000C,Nikon,SLR,Nikon F,35mm,1988,images/nikon/nikon-qv-1000c.jpg,Q139505695,Nikon QV1000C front-left 2015 Nikon Museum.jpg,https://en.wikipedia.org/wiki/Nikon_QV-1000C,wikidata
