slug,name,brand,mount,film_format,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
micro-nikkor-55mm-f2-8,Micro-Nikkor 55mm f2.8,Nikon,,35mm,55,2.8,,,,images/nikon/micro-nikkor-55mm-f2-8.jpg,Q97381109,Micro-Nikkor 55mm f 2.8 Ai-S.JPG,,wikidata
nikon-24-70mm-f-2-8g-ed-af-s,Nikon 24-70mm f/2.8G ED AF-S,Nikon,,35mm,24-70,1.8,,,,,Q17048847,,"https://en.wikipedia.org/wiki/Nikon_AF-S_NIKKOR_24%E2%80%9370_mm_1:2,8G_ED",wikidata
nikon-24mm-f-2-8-ai-s,Nikon 24mm f/2.8 AI-s,Nikon,,35mm,24,2.8,,,,,Q63635987,,,wikidata
nikon-50mm-f-1-8-ai,Nikon 50mm f/1.8 AI,Nikon,,35mm,50,1.8,,,,images/nikon/nikon-50mm-f-1-8-ai.jpg,Q63637298,Ais5018ex.jpg,,wikidata
nikon-af-dc-nikkor-105mm-f-2d,Nikon AF DC-Nikkor 105mm f/2D,Nikon,,35mm,105,2,,,,,Q63633715,,,wikidata
nikon-af-dc-nikkor-135mm-f-2d,Nikon AF DC-Nikkor 135mm f/2D,Nikon,,35mm,135,2,,,,,Q63633734,,,wikidata
nikon-af-dx-fisheye-nikkor-10-5mm-f-2-8g-ed,Nikon AF DX Fisheye-Nikkor 10.5mm f/2.8G ED,Nikon,,35mm,10.5,2.8,,,,images/nikon/nikon-af-dx-fisheye-nikkor-10-5mm-f-2-8g-ed.jpg,Q7036471,Nikon DX fisheye DSC7315EC.jpg,https://en.wikipedia.org/wiki/Nikon_AF_DX_Fisheye-Nikkor_10.5mm_f/2.8G_ED,wikidata
nikon-af-fisheye-nikkor-16mm-f-2-8d,Nikon AF Fisheye-Nikkor 16mm f/2.8D,Nikon,,35mm,,2.8,,,,,Q116719355,,,wikidata
nikon-af-micro-nikkor-200mm-f-4d-ed-if,Nikon AF Micro-Nikkor 200mm f/4D ED-IF,Nikon,,35mm,200,4,,,,,Q116719356,,,wikidata
nikon-af-nikkor-14mm-f-2-8d-ed,Nikon AF Nikkor 14mm f/2.8D ED,Nikon,,35mm,,2.8,,,,,Q116719357,,,wikidata
nikon-af-nikkor-18-35mm-f-3-5-4-5d-if-ed,Nikon AF Nikkor 18-35mm f/3.5-4.5D IF ED,Nikon,,35mm,18,,,,,,Q116719358,,,wikidata
nikon-af-nikkor-180mm-f-2-8d-if-ed,Nikon AF Nikkor 180mm f/2.8D IF-ED,Nikon,,35mm,180,2.8,,,,,Q63635820,,,wikidata
nikon-af-nikkor-20mm-f-2-8d,Nikon AF Nikkor 20mm f/2.8D,Nikon,,35mm,20,2.8,,,,,Q116719359,,,wikidata
nikon-af-nikkor-24-85mm-f-2-8-4d-if,Nikon AF Nikkor 24-85mm f/2.8-4D IF,Nikon,,35mm,24,,,,,,Q116719360,,,wikidata
nikon-af-nikkor-24mm-f-2-8d,Nikon AF Nikkor 24mm f/2.8D,Nikon,,35mm,24,2.8,,,,images/nikon/nikon-af-nikkor-24mm-f-2-8d.jpg,Q63636075,Nikkor AF 24 f2.8.jpg,,wikidata
nikon-af-nikkor-28mm-f-2-8d,Nikon AF Nikkor 28mm f/2.8D,Nikon,,35mm,,2.8,,,,,Q116719361,,,wikidata
nikon-af-nikkor-35mm-f-2d,Nikon AF Nikkor 35mm f/2D,Nikon,,35mm,35,2,,,,images/nikon/nikon-af-nikkor-35mm-f-2d.jpg,Q63637273,Lens aperture side.jpg,,wikidata
nikon-af-nikkor-50-mm-f-1-8d,Nikon AF Nikkor 50 mm f/1.8D,Nikon,,35mm,50,1.8,,,,images/nikon/nikon-af-nikkor-50-mm-f-1-8d.jpg,Q6960026,Lens Nikkor 50mm.jpg,https://en.wikipedia.org/wiki/Nikon_AF_Nikkor_50_mm_f/1.8D,wikidata
nikon-af-nikkor-50mm-f-1-4d,Nikon AF Nikkor 50mm f/1.4D,Nikon,,35mm,50,1.4,,,,images/nikon/nikon-af-nikkor-50mm-f-1-4d.jpg,Q63565023,AF-D Nikkor 50mm F 1.4D pic2.jpg,,wikidata
nikon-af-nikkor-50mm-f-1-8d,Nikon AF Nikkor 50mm f/1.8D,Nikon,,35mm,50,1.8,,,,images/nikon/nikon-af-nikkor-50mm-f-1-8d.jpg,Q63637305,Lens Nikkor 50mm.jpg,,wikidata
nikon-af-nikkor-70-300mm-f-4-5-6g-ed,Nikon AF Nikkor 70-300mm f/4-5.6G ED,Nikon,,35mm,70-300,4,,,,images/nikon/nikon-af-nikkor-70-300mm-f-4-5-6g-ed.jpg,Q63640022,AF Nikkor 70-300mm G.jpg,,wikidata
nikon-af-nikkor-80-200mm-f-2-8-ed,Nikon AF Nikkor 80-200mm f/2.8 ED,Nikon,,35mm,80-200,2.8,,,,images/nikon/nikon-af-nikkor-80-200mm-f-2-8-ed.jpg,Q63640407,Nikkor AF 80-200 mm f 2.8 D.jpg,,wikidata
nikon-af-nikkor-80-400mm-f-4-5-5-6d-ed-vr,Nikon AF Nikkor 80-400mm f/4.5-5.6D ED VR,Nikon,,35mm,80-400,4.5,,,,images/nikon/nikon-af-nikkor-80-400mm-f-4-5-5-6d-ed-vr.jpg,Q63640414,Nikkor AF 80-400mm f-4.5-5.6 ED VR D lens 03.jpg,,wikidata
nikon-af-nikkor-85mm-f-1-4d-if,Nikon AF Nikkor 85mm f/1.4D IF,Nikon,,35mm,85,1.4,,,,images/nikon/nikon-af-nikkor-85mm-f-1-4d-if.jpg,Q63640437,Nikon-85mm-AF-D-1.4.jpg,,wikidata
nikon-af-nikkor-85mm-f-1-8d,Nikon AF Nikkor 85mm f/1.8D,Nikon,,35mm,85,1.8,,,,images/nikon/nikon-af-nikkor-85mm-f-1-8d.jpg,Q63640540,Nikkor AF-D 85mm F1.8 b.jpg,,wikidata
nikon-af-zoom-nikkor-28-105mm-f-3-5-4-5d-if,Nikon AF Zoom-Nikkor 28-105mm f/3.5-4.5D IF,Nikon,,35mm,28-105,3.5,,,,,Q63637034,,,wikidata
nikon-af-zoom-nikkor-35-70-mm-f-3-3-4-5,Nikon AF Zoom-Nikkor 35-70 mm f/3.3-4.5,Nikon,,35mm,35-70,3.3,,,,images/nikon/nikon-af-zoom-nikkor-35-70-mm-f-3-3-4-5.jpg,Q7036473,Nikon 35-70mm f3.3-f4.5.jpg,https://en.wikipedia.org/wiki/Nikon_AF_Zoom-Nikkor_35-70_mm_f/3.3-4.5,wikidata
nikon-af-p-nikkor-70-300mm-f4-5-5-6e-ed-vr,Nikon AF-P Nikkor 70-300mm F4.5-5.6E ED VR,Nikon,,35mm,70-300,4.5,,,,,Q116719364,,,wikidata
nikon-af-s-70-200mm-f-2-8-g-if-ed-vr,Nikon AF-S 70-200mm f/2.8 G IF-ED VR,Nikon,,35mm,70-200,2.8,,,,images/nikon/nikon-af-s-70-200mm-f-2-8-g-if-ed-vr.jpg,Q63639744,AF-S VR Zoom-NIKKOR 70-200mm f2.8G IF-ED.jpg,,wikidata
nikon-af-s-dx-micro-nikkor-40mm-f2-8,Nikon AF-S DX Micro Nikkor 40mm F2.8,Nikon,,35mm,40,2.8,,,,,Q116719365,,,wikidata
nikon-af-s-dx-micro-nikkor-85mm-f-3-5g-ed-vr,Nikon AF-S DX Micro-Nikkor 85mm f/3.5G ED VR,Nikon,,35mm,,3.5,,,,,Q116719366,,,wikidata
nikon-af-s-dx-zoom-nikkor-12-24mm-f-4g-if-ed,Nikon AF-S DX Zoom-Nikkor 12-24mm f/4G IF-ED,Nikon,,35mm,12-24,4,,,,images/nikon/nikon-af-s-dx-zoom-nikkor-12-24mm-f-4g-if-ed.jpg,Q12797474,Nikkor DX 12-24 mm.JPG,https://en.wikipedia.org/wiki/Nikon_AF-S_DX_Zoom-Nikkor_12-24mm_f/4G_IF-ED,wikidata
nikon-af-s-dx-zoom-nikkor-16-85mm-f-3-5-5-6g-if-ed-vr,Nikon AF-S DX Zoom-Nikkor 16-85mm f/3.5-5.6G IF-ED VR,Nikon,,35mm,16-85,3.5,,,,images/nikon/nikon-af-s-dx-zoom-nikkor-16-85mm-f-3-5-5-6g-if-ed-vr.jpg,Q7036460,Nikon 16-85 f-3.5-5.6G.jpg,https://en.wikipedia.org/wiki/Nikon_AF-S_DX_Zoom-Nikkor_16-85mm_f/3.5-5.6G_IF-ED_VR,wikidata
nikon-af-s-dx-zoom-nikkor-17-55mm-f-2-8g-if-ed,Nikon AF-S DX Zoom-Nikkor 17-55mm f/2.8G IF-ED,Nikon,,35mm,17-55,2.8,,,,images/nikon/nikon-af-s-dx-zoom-nikkor-17-55mm-f-2-8g-if-ed.jpg,Q63633754,Nikkor 17-55 f2844464.jpg,https://en.wikipedia.org/wiki/Nikon_AF-S_17-55mm_f/2.8_G_IF-ED_DX,wikidata
nikon-af-s-dx-zoom-nikkor-18-300mm-f-3-5-5-6g-ed-vr,Nikon AF-S DX Zoom-Nikkor 18-300mm f/3.5-5.6G ED VR,Nikon,,35mm,18-300,3.5,,,,,Q28444724,,https://en.wikipedia.org/wiki/Nikon_AF-S_DX_Zoom-Nikkor_18-300mm_f/3.5-5.6G_ED_VR,wikidata
nikon-af-s-dx-zoom-nikkor-18-300mm-f-3-5-6-3g-ed-vr,Nikon AF-S DX Zoom-Nikkor 18-300mm f/3.5-6.3G ED VR,Nikon,,35mm,18-300,3.5,,,,,Q28127058,,https://en.wikipedia.org/wiki/Nikon_AF-S_DX_Zoom-Nikkor_18-300mm_f/3.5-6.3G_ED_VR,wikidata
nikon-af-s-dx-zoom-nikkor-18-70mm-f-3-5-4-5g-ed-if,Nikon AF-S DX Zoom-Nikkor 18-70mm f/3.5-4.5G ED-IF,Nikon,,35mm,18-70,3.5,,,,images/nikon/nikon-af-s-dx-zoom-nikkor-18-70mm-f-3-5-4-5g-ed-if.jpg,Q7036464,Nikon 18-70mm f3.5-4.5.jpg,https://en.wikipedia.org/wiki/Nikon_AF-S_DX_Zoom-Nikkor_18-70mm_f/3.5-4.5G_ED-IF,wikidata
nikon-af-s-dx-zoom-nikkor-55-200mm-f-4-5-6g,Nikon AF-S DX Zoom-Nikkor 55-200mm f/4-5.6G,Nikon,,35mm,55-200,,,,,,Q7036463,,https://en.wikipedia.org/wiki/Nikon_AF-S_DX_Zoom-Nikkor_55-200mm_f/4-5.6G,wikidata
