slug,name,brand,type,mount,film_format,introduced,image,wikidata,commons_file,wikipedia,source
asahi-pentax,Asahi Pentax,Pentax,SLR,M42,35mm,,images/pentax/asahi-pentax.jpg,Q4034433,AsahiPentax AP.jpg,https://en.wikipedia.org/wiki/Asahi_Pentax,wikidata
asahi-pentax-k,Asahi Pentax K,Pentax,SLR,M42,35mm,,images/pentax/asahi-pentax-k.jpg,Q4046616,Asahi Pentax K front.jpg,,wikidata
asahi-pentax-s,Asahi Pentax S,Pentax,SLR,M42,35mm,,images/pentax/asahi-pentax-s.jpg,Q4046637,Asahi Pentax S front.jpg,,wikidata
asahi-pentax-s2-super,Asahi Pentax S2 super,Pentax,SLR,M42,35mm,,images/pentax/asahi-pentax-s2-super.jpg,Q4046642,Asahi Pentax S2 super.jpg,,wikidata
asahiflex,Asahiflex,Pentax,SLR,M42,35mm,,images/pentax/asahiflex.jpg,Q4034434,Asahiflex IIb Model I.jpg,https://en.wikipedia.org/wiki/Asahiflex,wikidata
asahiflex-i,Asahiflex I,Pentax,SLR,M42,35mm,,images/pentax/asahiflex-i.jpg,Q8181770,Asahiflex I (1-1).jpg,,wikidata
asahiflex-ii,Asahiflex II,Pentax,SLR,M42,35mm,,images/pentax/asahiflex-ii.jpg,Q8181803,Asahiflex IIb front.jpg,,wikidata
pentax-645n,Pentax 645N,Pentax,SLR,Pentax 645,120,,images/pentax/pentax-645n.jpg,Q4046599,Pentax645n.jpg,,wikidata
pentax-67ii,Pentax 67II,Pentax,SLR,Pentax 67,120,,images/pentax/pentax-67ii.jpg,Q2069365,Pentax-67II-body-wo-viewfinder.JPG,,wikidata
pentax-a3,Pentax A3,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-a3.jpg,Q3374923,Pentax a3.jpg,,wikidata
pentax-auto-110,Pentax Auto 110,Pentax,SLR,Pentax 110,110,,images/pentax/pentax-auto-110.jpg,Q4046604,Pentax Auto 110.jpg,https://en.wikipedia.org/wiki/Pentax_Auto_110,wikidata
pentax-es-ii,Pentax ES II,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-es-ii.jpg,Q4046606,Pentax1.jpg,,wikidata
pentax-k1000v,Pentax K1000v,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-k1000v.jpg,Q639521,Pentax K1000.jpg,https://en.wikipedia.org/wiki/Pentax_K1000,wikidata
pentax-k2,Pentax K2,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-k2.jpg,Q4046611,Asahi Pentax K2.jpg,,wikidata
pentax-k2-dmd,Pentax K2 DMD,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-k2-dmd.jpg,Q4046613,Pentax-K2-DMD.JPG,,wikidata
pentax-km,Pentax KM,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-km.jpg,Q4046612,Pentax-KM.JPG,,wikidata
pentax-kx,Pentax KX,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-kx.jpg,Q4046614,Pentax KX.jpg,,wikidata
pentax-lx,Pentax LX,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-lx.jpg,Q824877,"Pentax LX, front.jpg",https://en.wikipedia.org/wiki/Pentax_LX,wikidata
pentax-me,Pentax ME,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-me.jpg,Q176072,Pentax ME.jpg,https://en.wikipedia.org/wiki/Pentax_ME,wikidata
pentax-me-f,Pentax ME F,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-me-f.jpg,Q1346599,Pentax ME-F.jpg,https://en.wikipedia.org/wiki/Pentax_ME_F,wikidata
pentax-me-super,Pentax ME Super,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-me-super.jpg,Q674055,Pentax ME Super - front-angle.jpg,https://en.wikipedia.org/wiki/Pentax_ME_Super,wikidata
pentax-mg,Pentax MG,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-mg.jpg,Q4046622,PENTAX MG.jpg,https://en.wikipedia.org/wiki/Pentax_MG,wikidata
pentax-mx,Pentax MX,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-mx.jpg,Q639530,Pentax MX camera.jpg,https://en.wikipedia.org/wiki/Pentax_MX,wikidata
pentax-mz-30,Pentax MZ-30,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-mz-30.jpg,Q4046625,Pentax MZ-30.jpg,,wikidata
pentax-mz-5,Pentax MZ-5,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-mz-5.jpg,Q4046626,Pentax MZ-5 01.jpg,,wikidata
pentax-mz-5n,Pentax MZ-5N,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-mz-5n.jpg,Q4046627,Pentax MZ-5N.jpg,,wikidata
pentax-mz-6,Pentax MZ-6,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-mz-6.jpg,Q4046628,Pentax-MZ6.JPG,,wikidata
pentax-mz-60,Pentax MZ-60,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-mz-60.jpg,Q4046629,Pentax MZ-60.jpg,,wikidata
pentax-mz-m,Pentax MZ-M,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-mz-m.jpg,Q4046632,Pentax mz-m.jpeg,,wikidata
pentax-mz-s,Pentax MZ-S,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-mz-s.jpg,Q4046634,Pentax MZ-S.jpg,https://en.wikipedia.org/wiki/Pentax_MZ-S,wikidata
pentax-p30,Pentax P30,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-p30.jpg,Q4046635,Pentax P3.jpg,,wikidata
pentax-program-a,Pentax Program A,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-program-a.jpg,Q21652036,Pentax Program A.jpg,,wikidata
pentax-pz-10,Pentax PZ-10,Pentax,SLR,Pentax K,35mm,,images/pentax/pentax-pz-10.jpg,Q4046654,Pentax Z-10.jpg,,wikidata
