slug,name,brand,mount,film_format,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
hd-pentax-d-fa-24-70mm-f2-8-ed-sdm-wr,HD Pentax D FA 24-70mm F2.8 ED SDM WR,Pentax,,35mm,24-70,2.8,,,,,Q116719436,,,wikidata
hd-pentax-da-15mm-f4-ed-al-limited,HD Pentax DA 15mm F4 ED AL Limited,Pentax,,35mm,,4,,,,,Q116719437,,,wikidata
hd-pentax-da-16-85mm-f3-5-5-6-ed-dc-wr,HD Pentax DA 16-85mm F3.5-5.6 ED DC WR,Pentax,,35mm,16,,,,,,Q116719438,,,wikidata
hd-pentax-da-21mm-f3-2-al-limited,HD Pentax DA 21mm F3.2 AL Limited,Pentax,,35mm,,3.2,,,,,Q116719439,,,wikidata
hd-pentax-da-35mm-f2-8-macro-limited,HD Pentax DA 35mm F2.8 Macro Limited,Pentax,,35mm,,2.8,,,,,Q116719440,,,wikidata
hd-pentax-da-55-300mm-f4-0-5-8-ed-wr,HD Pentax DA 55-300mm F4.0-5.8 ED WR,Pentax,,35mm,55-300,4,,,,,Q116719435,,,wikidata
hd-pentax-da-70mm-f2-4-al-limited,HD Pentax DA 70mm F2.4 AL Limited,Pentax,,35mm,70,2.4,,,,,Q116719441,,,wikidata
hd-pentax-da-af-1-4x-aw-rear-converter,HD Pentax DA AF 1.4X AW Rear Converter,Pentax,,35mm,,,,,,,Q116719442,,,wikidata
hd-pentax-d-fa-15-30mm-f2-8-ed-sdm-wr,HD PENTAX-D FA 15-30mm F2.8 ED SDM WR,Pentax,,35mm,15-30,2.8,,,,,Q116719443,,,wikidata
hd-pentax-d-fa-21mm-f2-4ed-limited-dc-wr,HD PENTAX-D FA 21mm F2.4ED Limited DC WR,Pentax,,35mm,,,,,,,Q116719444,,,wikidata
hd-pentax-d-fa-28-105mm-f3-5-5-6-ed-dc-wr,HD PENTAX-D FA 28-105mm F3.5-5.6 ED DC WR,Pentax,,35mm,28-105,3.5,,,,,Q116719445,,,wikidata
hd-pentax-d-fa-645-35mm-f3-5-al,HD Pentax-D FA 645 35mm F3.5 AL,Pentax,,120,,3.5,,,,,Q25203597,,,wikidata
hd-pentax-d-fa-645-macro-90mm-f2-8-ed-aw-sr,HD Pentax-D FA 645 Macro 90mm F2.8 ED AW SR,Pentax,,120,90,2.8,,,,images/pentax/hd-pentax-d-fa-645-macro-90mm-f2-8-ed-aw-sr.jpg,Q21233149,R0000989.JPG,,wikidata
hd-pentax-d-fa-70-210mm-f4-ed-sdm-wr,HD Pentax-D FA 70-210mm F4 ED SDM WR,Pentax,,35mm,70-210,4,,,,,Q116719446,,,wikidata
hd-pentax-d-fa-macro-100mm-f2-8ed-aw,HD PENTAX-D FA MACRO 100mm F2.8ED AW,Pentax,,35mm,100,2.8,,,,,Q116719448,,,wikidata
hd-pentax-d-fa-50mm-f-1-4-sdm-aw,HD Pentax-D FA* 50mm f/1.4 SDM AW,Pentax,,35mm,50,1.4,,,,images/pentax/hd-pentax-d-fa-50mm-f-1-4-sdm-aw.jpg,Q55526768,Pentax SMC D FA 50mm f1.4.jpg,https://en.wikipedia.org/wiki/Pentax_D_FA*_50mm_lens,wikidata
hd-pentax-d-fa-85mm-f1-4-ed-sdm-aw,HD Pentax-D FA* 85mm F1.4 ED SDM AW,Pentax,,35mm,,1.4,,,,,Q116719449,,,wikidata
hd-pentax-da-10-17mm-f3-5-4-5-ed-fisheye,HD Pentax-DA 10-17mm F3.5-4.5 ED fisheye,Pentax,,35mm,10-17,3.5,,,,,Q116719450,,,wikidata
hd-pentax-da-55-300mm-f4-5-6-3-ed-plm-wr-re,HD Pentax-DA 55-300mm F4.5-6.3 ED PLM WR RE,Pentax,,35mm,55-300,4.5,,,,,Q116719452,,,wikidata
hd-pentax-da-645-28-45mm-f4-5-ed-aw-sr,HD Pentax-DA 645 28-45mm F4.5 ED AW SR,Pentax,,120,28,4.5,,,,images/pentax/hd-pentax-da-645-28-45mm-f4-5-ed-aw-sr.jpg,Q21233151,HD Pentax-DA 645 28-45mm F4.5 ED AW SR.jpg,https://en.wikipedia.org/wiki/HD_Pentax-DA_645_28-45mm_F4.5_ED_AW_SR,wikidata
hd-pentax-da-11-18mm-f2-8,HD Pentax-DA* 11-18mm F2.8,Pentax,,35mm,11,2.8,,,,,Q116719454,,,wikidata
hd-pentax-da-16-50mm-f2-8-ed-plm-aw,HD Pentax-DA* 16-50mm F2.8 ED PLM AW,Pentax,,35mm,16-50,2.8,,,,,Q116719455,,,wikidata
hd-pentax-fa-31mm-f1-8-limited,HD Pentax-FA 31mm F1.8 Limited,Pentax,,35mm,,1.8,,,,,Q116719456,,,wikidata
hd-pentax-fa-35mm-f2-al,HD Pentax-FA 35mm F2 AL,Pentax,,35mm,,2,,,,,Q116719457,,,wikidata
hd-pentax-fa-43mm-f1-9-limited,HD Pentax-FA 43mm F1.9 Limited,Pentax,,35mm,,1.9,,,,,Q116719458,,,wikidata
hd-pentax-fa-77mm-f1-8-limited,HD Pentax-FA 77mm F1.8 Limited,Pentax,,35mm,,1.8,,,,,Q116719460,,,wikidata
pentax-01-standard-prime,Pentax 01 Standard Prime,Pentax,,35mm,8.5,1.9,,,,,Q116719462,,,wikidata
pentax-02-standard-zoom,Pentax 02 Standard Zoom,Pentax,,35mm,5-15,2.8,,,,,Q116719463,,,wikidata
pentax-03-fish-eye,Pentax 03 Fish-Eye,Pentax,,35mm,3.2,5.6,,,,,Q116719464,,,wikidata
pentax-04-toy-lens-wide,Pentax 04 Toy Lens Wide,Pentax,,35mm,6.3,7.1,,,,,Q116719465,,,wikidata
pentax-05-toy-lens-telephoto,Pentax 05 Toy Lens Telephoto,Pentax,,35mm,18,8,,,,,Q116719466,,,wikidata
pentax-06-telephoto-15-45mm,Pentax 06 Telephoto 15-45mm,Pentax,,35mm,15-45,2.8,,,,,Q116719467,,,wikidata
pentax-07-mount-shield-lens,Pentax 07 Mount Shield Lens,Pentax,,35mm,11.5,9,,,,,Q116719468,,,wikidata
pentax-08-wide-zoom,Pentax 08 Wide Zoom,Pentax,,35mm,17.5-27,3.7,,,,,Q116719469,,,wikidata
pentax-d-fa-150-450mm-f4-5-5-6-ed-dc-aw,Pentax D FA 150-450mm F4.5-5.6 ED DC AW,Pentax,,35mm,150-450,4.5,,,,,Q116719470,,https://en.wikipedia.org/wiki/Pentax_D_FA_150-450mm_lens,wikidata
pentax-d-fa-70-200mm-f2-8ed-dc-aw,Pentax D FA* 70-200mm F2.8ED DC AW,Pentax,,35mm,70-200,2.8,,,,,Q116719471,,https://en.wikipedia.org/wiki/Pentax_D_FA*_70-200mm_lens,wikidata
pentax-da-10-17mm-lens,Pentax DA 10-17mm lens,Pentax,,35mm,10-17,,,,,,Q7165077,,https://en.wikipedia.org/wiki/Pentax_DA_10-17mm_lens,wikidata
pentax-da-12-24mm-lens,Pentax DA 12-24mm lens,Pentax,,35mm,12-24,,,,,images/pentax/pentax-da-12-24mm-lens.jpg,Q19903044,PentaxWideAngleZoomLens12-24.jpg,https://en.wikipedia.org/wiki/Pentax_DA_12-24mm_lens,wikidata
pentax-da-15mm-limited-lens,Pentax DA 15mm Limited lens,Pentax,,35mm,,4,,,,images/pentax/pentax-da-15mm-limited-lens.jpg,Q24909497,PentaxWideAngleLensDA15Limited1.jpg,https://en.wikipedia.org/wiki/Pentax_DA_15mm_Limited_lens,wikidata
pentax-da-16-45mm-lens,Pentax DA 16-45mm lens,Pentax,,35mm,16,4,,,,images/pentax/pentax-da-16-45mm-lens.jpg,Q23306090,Pentax K10D.jpg,https://en.wikipedia.org/wiki/Pentax_DA_16-45mm_lens,wikidata
pentax-da-18-135mm-lens,Pentax DA 18-135mm lens,Pentax,,35mm,18,,,,,images/pentax/pentax-da-18-135mm-lens.jpg,Q24910720,Pentax K-3 with SMC Pentax-DA 18-135mm F3.5-5.6 ED AL -IF- DC WR lens.jpg,https://en.wikipedia.org/wiki/Pentax_DA_18-135mm_lens,wikidata
pentax-da-18-270mm-lens,Pentax DA 18-270mm lens,Pentax,,35mm,18-270,3.5,,,,,Q24909455,,https://en.wikipedia.org/wiki/SMC_Pentax_DA_18-270mm_F3.5-6.3_ED_SDM,wikidata
pentax-da-18-50mm-f4-5-5-6-dc-wr-re,Pentax DA 18-50mm F4.5-5.6 DC WR RE,Pentax,,35mm,18-50,4,,,,,Q116719472,,,wikidata
pentax-da-18-55mm-lens,Pentax DA 18-55mm lens,Pentax,,35mm,18-55,,,,,images/pentax/pentax-da-18-55mm-lens.jpg,Q12065596,Pentax DA 18-55 AL.jpg,https://en.wikipedia.org/wiki/Pentax_DA_18-55mm_lens,wikidata
pentax-da-20-40mm-limited-lens,Pentax DA 20-40mm Limited lens,Pentax,,35mm,20-40,2.8,,,,,Q24909523,,https://en.wikipedia.org/wiki/Pentax_DA_20-40mm_Limited_lens,wikidata
pentax-da-21mm-limited-lens,Pentax DA 21mm Limited lens,Pentax,,35mm,21,3.2,,,,images/pentax/pentax-da-21mm-limited-lens.jpg,Q24944502,Pentax DA 21mm F3.2 AL Limited and Pentax lens cap (319109101).jpg,https://en.wikipedia.org/wiki/Pentax_DA_21mm_Limited_lens,wikidata
pentax-da-40mm-lens,Pentax DA 40mm lens,Pentax,,35mm,40,,,,,images/pentax/pentax-da-40mm-lens.jpg,Q7165079,SMC Pentax-DA 40mm F2.8 Limited.jpg,https://en.wikipedia.org/wiki/Pentax_DA_40mm_lens,wikidata
pentax-da-50mm-lens,Pentax DA 50mm lens,Pentax,,35mm,50,1.8,,,,,Q17048091,,https://en.wikipedia.org/wiki/Pentax_DA_50mm_lens,wikidata
pentax-da-55-300mm-lens,Pentax DA 55-300mm lens,Pentax,,35mm,55-300,,,,,,Q18387537,,https://en.wikipedia.org/wiki/Pentax_DA_55-300mm_lens,wikidata
pentax-da-560mm-lens,Pentax DA 560mm lens,Pentax,,35mm,560,5.6,,,,images/pentax/pentax-da-560mm-lens.jpg,Q18387541,Pentax K-3 with Pentax HD DA 560mm F5.6 ED AW.jpg,https://en.wikipedia.org/wiki/Pentax_DA_560mm_lens,wikidata
pentax-da-50-135mm-lens,Pentax DA* 50-135mm lens,Pentax,,35mm,50-135,2.8,,,,,Q21233211,,https://en.wikipedia.org/wiki/Pentax_DA*_50-135mm_lens,wikidata
pentax-da-55mm-lens,Pentax DA* 55mm lens,Pentax,,35mm,55,1.4,,,,,Q7165078,,https://en.wikipedia.org/wiki/Pentax_DA*_55mm_lens,wikidata
pentax-fa-43mm-limited-lens,Pentax FA 43mm Limited lens,Pentax,,35mm,43,1.9,,,,,Q25038220,,,wikidata
pentax-lens,Pentax lens,Pentax,,35mm,,,,,,,Q7165076,,https://en.wikipedia.org/wiki/Pentax_lenses,wikidata
pentax-sdm,Pentax SDM,Pentax,,35mm,,,,,,,Q3459358,,,wikidata
pentax-smc-da-10-17mm-f3-5-4-5-ed-if-fisheye,Pentax smc DA 10-17mm F3.5-4.5 ED (IF) Fisheye,Pentax,,35mm,10-17,3.5,,,,,Q116719473,,,wikidata
pentax-smc-da-12-24mm-f4-0-ed-al-if,Pentax smc DA 12-24mm F4.0 ED AL (IF),Pentax,,35mm,12-24,4,,,,,Q116719474,,,wikidata
pentax-smc-da-14mm-f2-8-ed-if,Pentax smc DA 14mm F2.8 ED (IF),Pentax,,35mm,,2.8,,,,,Q116719475,,,wikidata
pentax-smc-da-17-70mm-f4-0-al-if-sdm,Pentax smc DA 17-70mm F4.0 AL (IF) SDM,Pentax,,35mm,17-70,4,,,,,Q116719476,,,wikidata
pentax-smc-da-18-250mm-f3-5-6-3,Pentax smc DA 18-250mm F3.5-6.3,Pentax,,35mm,18-250,3.5,,,,,Q116719477,,,wikidata
pentax-smc-da-18-55mm-f3-5-5-6-al,Pentax smc DA 18-55mm F3.5-5.6 AL,Pentax,,35mm,18,,,,,,Q116719478,,,wikidata
pentax-smc-da-18-55mm-f3-5-5-6-al-wr,Pentax smc DA 18-55mm F3.5-5.6 AL WR,Pentax,,35mm,18,,,,,,Q116719479,,,wikidata
pentax-smc-da-18-55mm-f3-5-5-6-ed-al-ii-if,Pentax smc DA 18-55mm F3.5-5.6 ED AL II (IF),Pentax,,35mm,18,,,,,,Q116719480,,,wikidata
pentax-smc-da-35mm-f2-4-al,Pentax smc DA 35mm F2.4 AL,Pentax,,35mm,,2.4,,,,,Q116719482,,,wikidata
pentax-smc-da-35mm-f2-8-macro-limited,Pentax smc DA 35mm F2.8 Macro Limited,Pentax,,35mm,,2.8,,,,,Q116719483,,,wikidata
pentax-smc-da-40mm-f2-8-limited,Pentax smc DA 40mm F2.8 Limited,Pentax,,35mm,40,2.8,,,,,Q116719484,,,wikidata
pentax-smc-da-50-200mm-f4-5-6-ed,Pentax smc DA 50-200mm F4-5.6 ED,Pentax,,35mm,50-200,4,,,,,Q116719486,,,wikidata
pentax-smc-da-50-200mm-f4-5-6-ed-wr,Pentax smc DA 50-200mm F4-5.6 ED WR,Pentax,,35mm,50-200,4,,,,,Q116719487,,,wikidata
pentax-smc-da-55-300mm-f4-0-5-8-ed,Pentax smc DA 55-300mm F4.0-5.8 ED,Pentax,,35mm,55-300,4,,,,,Q116719488,,,wikidata
pentax-smc-da-70mm-f2-4-al-limited,Pentax smc DA 70mm F2.4 AL Limited,Pentax,,35mm,70,2.4,,,,,Q116719489,,,wikidata
pentax-smc-da-16-50mm-f2-8-ed-al-if-sdm,Pentax smc DA* 16-50mm F2.8 ED AL (IF) SDM,Pentax,,35mm,16-50,2.8,,,,,Q116719490,,,wikidata
pentax-smc-da-200mm-f2-8-ed-if-sdm,Pentax smc DA* 200mm F2.8 ED (IF) SDM,Pentax,,35mm,200,2.8,,,,,Q116719491,,,wikidata
pentax-smc-da-300mm-f4-0-ed-if-sdm,Pentax smc DA* 300mm F4.0 ED (IF) SDM,Pentax,,35mm,300,4,,,,,Q116719492,,,wikidata
pentax-smc-da-60-250mm-f4-0-ed-if-sdm,Pentax smc DA* 60-250mm F4.0 ED (IF) SDM,Pentax,,35mm,60-250,4,,,,,Q116719493,,,wikidata
pentax-smc-fa-50mm-f1-4,Pentax smc FA 50mm F1.4,Pentax,,35mm,50,1.4,,,,,Q116719494,,,wikidata
smc-pentax-d-fa-645-55mm-f2-8-al,Smc Pentax D FA 645 55mm F2.8 AL,Pentax,,120,,2.8,,,,,Q25203510,,https://en.wikipedia.org/wiki/Smc_Pentax_D_FA_645_55mm_F2.8_AL_(IF)_SDM_AW,wikidata
smc-pentax-d-fa-100mm-f2-8-macro,SMC Pentax-D FA 100mm F2.8 Macro,Pentax,,35mm,100,2.8,,,,images/pentax/smc-pentax-d-fa-100mm-f2-8-macro.jpg,Q113661790,Pentax SMC D FA 100mm f2.8 macro.jpg,,wikidata
smc-pentax-d-fa-100mm-f2-8-macro-wr,SMC Pentax-D FA 100mm F2.8 Macro WR,Pentax,,35mm,100,2.8,,,,images/pentax/smc-pentax-d-fa-100mm-f2-8-macro-wr.jpg,Q25038219,PentaxMacroLens100WR.jpg,https://en.wikipedia.org/wiki/Pentax_D_FA_100mm_WR_lens,wikidata
smc-pentax-d-fa-645-25mm-f4-al,Smc Pentax-D FA 645 25mm F4 AL,Pentax,,120,,4,,,,,Q25203279,,https://en.wikipedia.org/wiki/Smc_Pentax-D_FA_645_25mm_F4_AL_(IF)_SDM_AW,wikidata
smc-pentax-da-16-50mm-1-2-8-ed-al-if-sdm,SMC Pentax-DA* 16-50mm 1:2.8 ED AL (IF) SDM,Pentax,,35mm,16-50,,,,,images/pentax/smc-pentax-da-16-50mm-1-2-8-ed-al-if-sdm.jpg,Q24910959,Pentax16-50.jpg,https://en.wikipedia.org/wiki/Pentax_DA*_16-50mm_lens,wikidata
smc-pentax-f-100mm-f2-8-macro,SMC Pentax-F 100mm F2.8 Macro,Pentax,,35mm,100,2.8,,,,images/pentax/smc-pentax-f-100mm-f2-8-macro.jpg,Q113662056,SMC Pentax-F 100mm F2.8 macro.jpg,,wikidata
super-multi-coated-takumar-1-1-4-50,Super-Multi-Coated Takumar 1:1.4/50,Pentax,,35mm,50,1.4,,,,images/pentax/super-multi-coated-takumar-1-1-4-50.jpg,Q113662113,50mm f-1.4 S-M-C Takumar (Radioactive) (5919660366).jpg,,wikidata
takumar,Takumar,Pentax,,35mm,,,,,,,Q7678568,,https://en.wikipedia.org/wiki/Takumar,wikidata
