slug,name,brand,mount,film_format,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
sigma-10-20mm-f3-5-ex-dc-hsm,Sigma 10-20mm F3.5 EX DC HSM,Sigma,,35mm,10-20,,,,,images/sigma/sigma-10-20mm-f3-5-ex-dc-hsm.jpg,Q112431635,2017 Sigma 10-20 mm f-3.5 EX DC HSM.jpg,,wikidata
sigma-105mm-f2-8-ex-dg-os-hsm-macro,Sigma 105mm F2.8 EX DG OS HSM Macro,Sigma,,35mm,105,,,,,images/sigma/sigma-105mm-f2-8-ex-dg-os-hsm-macro.jpg,Q101097021,Sigma 106101 01.jpg,https://en.wikipedia.org/wiki/Sigma_105mm_f/2.8_EX_DG_lens,wikidata
sigma-12-24mm-f4-5-5-6-lens,Sigma 12-24mm F4.5-5.6 lens,Sigma,,35mm,12-24,,,,,images/sigma/sigma-12-24mm-f4-5-5-6-lens.jpg,Q7512240,Sigma 12-24mm 02.jpg,https://en.wikipedia.org/wiki/Sigma_12-24mm_f/4.5-5.6_lens,wikidata
sigma-135mm-f1-8-dg-hsm,Sigma 135mm F1.8 DG HSM,Sigma,,35mm,135,1.8,,,,images/sigma/sigma-135mm-f1-8-dg-hsm.jpg,Q114795691,Sigma 135mm F1.8 DG HSM A Canon EF lens & compatible Sigma MC-11 Mount Converter.jpg,,wikidata
sigma-14-24mm-f2-8-dg-hsm,Sigma 14-24mm F2.8 DG HSM,Sigma,Canon EF lens mount,35mm,14-24,2.8,,,,images/sigma/sigma-14-24mm-f2-8-dg-hsm.jpg,Q118120513,Sigma 14-24mm f-2.8 DG HSM Art lens (EF mount).jpg,,wikidata
sigma-14mm-f1-8-dg-hsm-art,Sigma 14mm F1.8 DG HSM Art,Sigma,,35mm,14,1.8,,,,images/sigma/sigma-14mm-f1-8-dg-hsm-art.jpg,Q111794229,"Sigma 14mm F1.8 DG HSM Art without cap on, 2022 April - 3.jpg",,wikidata
sigma-150mm-f-2-8-apo-macro-ex-dg-hsm-lens,Sigma 150mm f/2.8 APO Macro EX DG HSM lens,Sigma,,35mm,150,2.8,,,,images/sigma/sigma-150mm-f-2-8-apo-macro-ex-dg-hsm-lens.jpg,Q7512241,Sigma APO MACRO 150mm F2.8 EX DG OS HSM Lens Side View.jpg,https://en.wikipedia.org/wiki/Sigma_150mm_f/2.8_APO_Macro_EX_DG_HSM_lens,wikidata
sigma-17-70mm-f2-8-4-dc-macro-os-hsm-c,Sigma 17-70mm F2.8-4 DC Macro OS HSM C,Sigma,,35mm,17-70,2.8,,,,images/sigma/sigma-17-70mm-f2-8-4-dc-macro-os-hsm-c.jpg,Q125503645,Sigma 17-70mm C 01.jpg,,wikidata
sigma-18-35mm-f-1-8-dc-hsm-a,Sigma 18-35mm f/1.8 DC HSM A,Sigma,,35mm,18-35,1.8,,,,images/sigma/sigma-18-35mm-f-1-8-dc-hsm-a.jpg,Q24909445,Sigma 18-35mm F1.8 DC HSM Art.jpg,https://en.wikipedia.org/wiki/Sigma_18-35mm_f/1.8_DC_HSM_A,wikidata
sigma-180mm-f3-5-ex-dg-lens,Sigma 180mm F3.5 EX DG lens,Sigma,,35mm,180,,,,,images/sigma/sigma-180mm-f3-5-ex-dg-lens.jpg,Q7512245,Sigma 180mm macro-IMG 2740.JPG,https://en.wikipedia.org/wiki/Sigma_180mm_f/3.5_EX_DG_lens,wikidata
sigma-200-500mm-f-2-8-ex-dg-lens,Sigma 200-500mm f/2.8 EX DG lens,Sigma,,35mm,200-500,2.8,,,,images/sigma/sigma-200-500mm-f-2-8-ex-dg-lens.jpg,Q7512249,"SIGMA 200-500mm F2,8 EX DG.jpg",https://en.wikipedia.org/wiki/Sigma_200-500mm_f/2.8_EX_DG_lens,wikidata
sigma-20mm-f1-4-dg-hsm-art,Sigma 20mm F1.4 DG HSM Art,Sigma,,35mm,20,,,,,,Q24833960,,https://en.wikipedia.org/wiki/Sigma_20mm_F1.4_DG_HSM_Art,wikidata
sigma-24mm-f1-4-dg-hsm-art,Sigma 24mm F1.4 DG HSM Art,Sigma,,35mm,24,1.4,,,,images/sigma/sigma-24mm-f1-4-dg-hsm-art.jpg,Q24907623,Sigma 24mm f1.4 Art.jpg,https://en.wikipedia.org/wiki/Sigma_24mm_F1.4_DG_HSM_Art,wikidata
