slug,name,brand,mount,film_format,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
sony-1-4x-teleconverter,Sony 1.4x Teleconverter,Sony,,35mm,,,,,,,Q116719218,,,wikidata
sony-100mm-f2-8-macro,Sony 100mm F2.8 Macro,Sony,,35mm,100,2.8,,,,,Q116719220,,,wikidata
sony-16-35mm-f2-8-za-ssm-carl-zeiss-vario-sonnar-t,Sony 16-35mm F2.8 ZA SSM Carl Zeiss Vario-Sonnar T*,Sony,,35mm,16-35,2.8,,,,,Q116719222,,,wikidata
sony-16mm-f2-8-fisheye,Sony 16mm F2.8 Fisheye,Sony,,35mm,,2.8,,,,,Q116719224,,,wikidata
sony-2-0x-teleconverter,Sony 2.0x Teleconverter,Sony,,35mm,,,,,,,Q116719225,,,wikidata
sony-24mm-f2-ssm-carl-zeiss-distagon-t,Sony 24mm F2 SSM Carl Zeiss Distagon T*,Sony,,35mm,,2,,,,,Q116719226,,,wikidata
sony-28-75mm-f2-8-sam,Sony 28-75mm F2.8 SAM,Sony,,35mm,28,2.8,,,,,Q116719227,,,wikidata
sony-28mm-f2-8,Sony 28mm F2.8,Sony,,35mm,,2.8,,,,,Q116719228,,,wikidata
sony-300mm-f2-8-g,Sony 300mm F2.8 G,Sony,,35mm,300,2.8,,,,,Q116719230,,,wikidata
sony-300mm-f2-8-g-ssm-ii,Sony 300mm F2.8 G SSM II,Sony,,35mm,300,2.8,,,,,Q116719231,,,wikidata
sony-35mm-f1-4-g,Sony 35mm F1.4 G,Sony,,35mm,,1.4,,,,,Q116719232,,,wikidata
sony-500mm-f4-g-ssm,Sony 500mm F4 G SSM,Sony,,35mm,500,4,,,,,Q116719233,,,wikidata
sony-50mm-f1-4,Sony 50mm F1.4,Sony,,35mm,50,1.4,,,,,Q116719234,,,wikidata
sony-70-200mm-f2-8-g-ssm-ii,Sony 70-200mm F2.8 G SSM II,Sony,,35mm,70-200,2.8,,,,,Q116719235,,,wikidata
sony-70-300mm-f4-5-5-6-g-ssm,Sony 70-300mm F4.5-5.6 G SSM,Sony,,35mm,70-300,4.5,,,,,Q116719236,,,wikidata
sony-70-300mm-f4-5-5-6-g-ssm-ii,Sony 70-300mm F4.5-5.6 G SSM II,Sony,,35mm,70-300,4.5,,,,,Q116719237,,,wikidata
sony-70-400mm-f4-5-6-g-ssm,Sony 70-400mm F4-5.6 G SSM,Sony,,35mm,70-400,4,,,,,Q116719238,,,wikidata
sony-70-400mm-f4-5-6-g-ssm-ii,Sony 70-400mm F4-5.6 G SSM II,Sony,,35mm,70-400,4,,,,,Q116719239,,,wikidata
sony-75-300mm-f4-5-5-6,Sony 75-300mm F4.5-5.6,Sony,,35mm,75-300,4.5,,,,,Q116719240,,,wikidata
sony-85mm-f2-8-sam,Sony 85mm F2.8 SAM,Sony,,35mm,,2.8,,,,,Q116719241,,,wikidata
sony-alpha-carl-zeiss-vario-sonnar-t-24-70mm-f-2-8-za-ssm-lens,Sony Alpha Carl Zeiss Vario-Sonnar T* 24-70mm f/2.8 ZA SSM lens,Sony,,35mm,24-70,2.8,,,,,Q17003895,,https://en.wikipedia.org/wiki/Sony_%CE%B1_Carl_Zeiss_Vario-Sonnar_T*_24-70mm_f/2.8_ZA_SSM,wikidata
sony-carl-zeiss-planar-t-50mm-f1-4-za-ssm,Sony Carl Zeiss Planar T* 50mm F1.4 ZA SSM,Sony,,35mm,50,1.4,,,,,Q116719242,,,wikidata
sony-carl-zeiss-sonnar-t-e-24mm-f1-8-za,Sony Carl Zeiss Sonnar T* E 24mm F1.8 ZA,Sony,,35mm,24,1.8,,,,images/sony/sony-carl-zeiss-sonnar-t-e-24mm-f1-8-za.jpg,Q30592076,Sony NEX-7 with Zeiss 24mm f1.8.jpg,https://en.wikipedia.org/wiki/Sony_Carl_Zeiss_Sonnar_T*_E_24mm_F1.8_ZA,wikidata
sony-carl-zeiss-vario-tessar-t-e-16-70mm-f4-za-oss,Sony Carl Zeiss Vario-Tessar T* E 16-70mm F4 ZA OSS,Sony,,35mm,16-70,4,,,,images/sony/sony-carl-zeiss-vario-tessar-t-e-16-70mm-f4-za-oss.jpg,Q24833944,Sony Alpha ILCE-6000 - 16.JPG,https://en.wikipedia.org/wiki/Sony_Carl_Zeiss_Vario-Tessar_T*_E_16-70mm_F4_ZA_OSS,wikidata
sony-planar-t-85mm-f-1-4-za-lens,Sony Planar T* 85mm f/1.4 ZA lens,Sony,,35mm,85,1.4,,,,images/sony/sony-planar-t-85mm-f-1-4-za-lens.jpg,Q4035887,Sony A77 + Zeiss 85.jpg,,wikidata
sony-sonnar-t-135mm-f-1-8-za-lens,Sony Sonnar T* 135mm f/1.8 ZA lens,Sony,,35mm,135,1.8,,,,images/sony/sony-sonnar-t-135mm-f-1-8-za-lens.jpg,Q7562516,Alpha 900.jpg,https://en.wikipedia.org/wiki/Sony_%CE%B1_Carl_Zeiss_Sonnar_T*_135mm_f/1.8_ZA,wikidata
sony-vario-sonnar-t-16-35mm-f2-8-za-ssm-ii,Sony Vario-Sonnar T* 16-35mm F2.8 ZA SSM II,Sony,,35mm,16,2.8,,,,,Q116719285,,,wikidata
sony-vario-sonnar-t-24-70mm-f2-8-za-ssm-ii,Sony Vario-Sonnar T* 24-70mm F2.8 ZA SSM II,Sony,,35mm,24-70,2.8,,,,,Q116719286,,,wikidata
vario-sonnar,Vario-Sonnar,Sony,,35mm,,,,,,,Q7915926,,https://en.wikipedia.org/wiki/Zeiss_Vario-Sonnar,wikidata
