slug,name,brand,mount,film_format,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
tamron-100-400mm-f4-5-6-3-di-vc-usd,Tamron 100-400mm F4.5-6.3 Di VC USD,Tamron,Canon EF lens mount,35mm,100-400,4.5,,,,images/tamron/tamron-100-400mm-f4-5-6-3-di-vc-usd.jpg,Q116719495,Tamron 100-400mm - 01.jpg,,wikidata
tamron-17-35mm-f2-8-4-di-osd,Tamron 17-35mm F2.8-4 Di OSD,Tamron,Canon EF lens mount,35mm,17,,,,,,Q116719500,,,wikidata
tamron-18-200mm-f3-5-6-3-di-ii-vc,Tamron 18-200mm F3.5-6.3 Di II VC,Tamron,Canon EF lens mount,35mm,18-200,3.5,,,,,Q116719503,,,wikidata
tamron-28-300mm-f-3-5-6-3-di-vc-pzd,Tamron 28-300mm F/3.5-6.3 Di VC PZD,Tamron,Canon EF lens mount,35mm,28-300,3.5,,,,,Q22906064,,https://en.wikipedia.org/wiki/Tamron_28-300mm_F/3.5-6.3_Di_VC_PZD,wikidata
tamron-35-150mm-f2-8-4-di-vc-osd,Tamron 35-150mm F2.8-4 Di VC OSD,Tamron,Canon EF lens mount,35mm,35-150,2.8,,,,,Q116719512,,,wikidata
tamron-70-210mm-f4-di-vc-usd,Tamron 70-210mm F4 Di VC USD,Tamron,Canon EF lens mount,35mm,70-210,4,,,,,Q116719517,,,wikidata
tamron-af-28-200mm-f-3-8-5-6-xr-di-aspherical-if-macro,Tamron AF 28-200mm F/3.8-5.6 XR Di Aspherical (IF) Macro,Tamron,Canon EF lens mount,35mm,28-200,3.8,,,,,Q116719519,,,wikidata
tamron-af-28-300mm-f-3-5-6-3-xr-di-ld-aspherical-if-macro,Tamron AF 28-300mm F/3.5-6.3 XR Di LD Aspherical (IF) Macro,Tamron,Canon EF lens mount,35mm,28-300,3.5,,,,,Q116719520,,,wikidata
tamron-af-28-300mm-f-3-5-6-3-xr-di-vc-ld-aspherical-if-macro,Tamron AF 28-300mm F/3.5-6.3 XR Di VC LD Aspherical (IF) Macro,Tamron,Canon EF lens mount,35mm,28-300,3.5,,,,,Q116719521,,,wikidata
tamron-af-28-75mm-f-2-8-xr-di-ld-aspherical-if,Tamron AF 28-75mm F/2.8 XR Di LD Aspherical (IF),Tamron,Canon EF lens mount,35mm,28,2.8,,,,,Q116719522,,,wikidata
tamron-af-28-80mm-f-3-5-5-6-aspherical,Tamron AF 28-80mm F/3.5-5.6 Aspherical,Tamron,Canon EF lens mount,35mm,28-80,3.5,,,,,Q116719523,,,wikidata
tamron-af-70-300mm-f-4-5-6-di-ld-macro,Tamron AF 70-300mm F/4-5.6 Di LD Macro,Tamron,Canon EF lens mount,35mm,70-300,4,,,,,Q116719525,,,wikidata
tamron-sp-1-4x-pro-teleconverter,Tamron SP 1.4X Pro Teleconverter,Tamron,Canon EF lens mount,35mm,,,,,,,Q116719526,,,wikidata
tamron-sp-15-30mm-f-2-8-di-vc-usd,Tamron SP 15-30mm F/2.8 Di VC USD,Tamron,Canon EF lens mount,35mm,15-30,2.8,,,,images/tamron/tamron-sp-15-30mm-f-2-8-di-vc-usd.jpg,Q22905944,Tamron SP AF 15-30mm F2.8 Di VC USD-93184.jpg,https://en.wikipedia.org/wiki/Tamron_SP_15-30mm_F/2.8_Di_VC_USD,wikidata
tamron-sp-150-600mm-f-5-6-3-di-vc-usd,Tamron SP 150-600mm F/5-6.3 Di VC USD,Tamron,Canon EF lens mount,35mm,150-600,5,,,,,Q22905946,,https://en.wikipedia.org/wiki/Tamron_150-600mm_lens,wikidata
tamron-sp-150-600mm-f-5-6-3-di-vc-usd-g2,Tamron SP 150-600mm F/5-6.3 Di VC USD G2,Tamron,Canon EF lens mount,35mm,150-600,5,,,,,Q107591233,,,wikidata
tamron-sp-150-600mm-f5-6-3-di-vc-usd-g2,Tamron SP 150-600mm F5-6.3 Di VC USD G2,Tamron,Canon EF lens mount,35mm,150-600,5,,,,,Q116719527,,,wikidata
tamron-sp-24-70mm-f-2-8-di-vc-usd-g2,Tamron SP 24-70mm F/2.8 Di VC USD G2,Tamron,Canon EF lens mount,35mm,24-70,2.8,,,,,Q102354947,,,wikidata
tamron-sp-2x-pro-teleconverter,Tamron SP 2X Pro Teleconverter,Tamron,Canon EF lens mount,35mm,,,,,,,Q116719529,,,wikidata
tamron-sp-35mm-f1-4-di-usd,Tamron SP 35mm F1.4 Di USD,Tamron,Canon EF lens mount,35mm,,1.4,,,,,Q116719530,,,wikidata
tamron-sp-35mm-f1-8-di-vc-usd,Tamron SP 35mm F1.8 Di VC USD,Tamron,Canon EF lens mount,35mm,,1.8,,,,,Q22906086,,https://en.wikipedia.org/wiki/Tamron_SP_35mm_F1.8_Di_VC_USD,wikidata
tamron-sp-45mm-f1-8-di-vc-usd,Tamron SP 45mm F1.8 Di VC USD,Tamron,Canon EF lens mount,35mm,45,1.8,,,,,Q22906098,,https://en.wikipedia.org/wiki/Tamron_SP_45mm_f/1.8_Di_VC_USD,wikidata
tamron-sp-70-200mm-f-2-8-di-vc-usd,Tamron SP 70-200mm F/2.8 Di VC USD,Tamron,Canon EF lens mount,35mm,70-200,2.8,,,,,Q22906110,,https://en.wikipedia.org/wiki/Tamron_SP_70-200mm_F/2.8_Di_VC_USD,wikidata
tamron-sp-70-300mm-f-4-5-6-di-usd,Tamron SP 70-300mm F/4-5.6 Di USD,Tamron,,35mm,70-300,4,,,,,Q116719531,,,wikidata
tamron-sp-70-300mm-f4-5-6-di-vc-usd,Tamron SP 70-300mm F4-5.6 Di VC USD,Tamron,Canon EF lens mount,35mm,70-300,4,,,,,Q116719532,,,wikidata
tamron-sp-85mm-f1-8-di-vc-usd,Tamron SP 85mm F1.8 Di VC USD,Tamron,Canon EF lens mount,35mm,,1.8,,,,,Q116719533,,,wikidata
tamron-sp-90mm-f-2-8-di-macro-1-1-vc-usd,Tamron SP 90mm F/2.8 Di MACRO 1:1 VC USD,Tamron,Canon EF lens mount,35mm,90,2.8,,,,,Q107668748,,,wikidata
